"DIPUTADO","BLOQUE","PROVINCIA","¿CÓMO VOTÓ?"
"DE LOREDO, RODRIGO","Ucr - Union Civica Radical","Córdoba","AFIRMATIVO"
"DE SENSI, MARIA FLORENCIA","Pro","Buenos Aires","AFIRMATIVO"
"DEL CAÑO, NICOLAS","Frente De Izquierda Y De Trabajadores Unidad","Buenos Aires","NEGATIVO"
"DEL PLA, ROMINA","Frente De Izquierda Y De Trabajadores Unidad","Buenos Aires","NEGATIVO"
"DIEZ, ROMINA","La Libertad Avanza","Santa Fe","AFIRMATIVO"
"DOMINGO, AGUSTIN","Innovacion Federal","Rio Negro","AFIRMATIVO"
"EMMA, NICOLAS","La Libertad Avanza","C.A.B.A.","AFIRMATIVO"
"ESPERT, JOSE LUIS","Avanza Libertad","Buenos Aires","AFIRMATIVO"
"ESTEVEZ, GABRIELA","Union Por La Patria","Córdoba","NEGATIVO"
"ESTRADA, EMILIANO","Union Por La Patria","Salta","NEGATIVO"
"FALCONE, EDUARDO","La Libertad Avanza","Buenos Aires","AFIRMATIVO"
"FEIN, MONICA","Hacemos Coalicion Federal","Santa Fe","NEGATIVO"
"FERNANDEZ MOLERO, DAIANA","Pro","C.A.B.A.","AFIRMATIVO"
"FERNANDEZ PATRI, RAMIRO","Union Por La Patria","Formosa","NEGATIVO"
"FERNANDEZ, AGUSTIN","Independencia","Tucumán","AFIRMATIVO"
"FERNANDEZ, CARLOS ALBERTO","Innovacion Federal","Misiones","AFIRMATIVO"
"FERNANDEZ, ELIA MARINA","Independencia","Tucumán","AFIRMATIVO"
"FERRARO, MAXIMILIANO","Hacemos Coalicion Federal","C.A.B.A.","AFIRMATIVO"
"FERREYRA, ALIDA MONICA","La Libertad Avanza","C.A.B.A.","AFIRMATIVO"
"FIGUEROA CASAS, GERMANA","Pro","Santa Fe","AFIRMATIVO"
"FINOCCHIARO, ALEJANDRO","Pro","Buenos Aires","AFIRMATIVO"
"FRADE, MONICA","Hacemos Coalicion Federal","Buenos Aires","AFIRMATIVO"
"FREITES, ANDREA","Union Por La Patria","Tierra del Fuego","NEGATIVO"
"GAILLARD, ANA CAROLINA","Union Por La Patria","Entre Ríos","NEGATIVO"
"GALIMBERTI, PEDRO JORGE","Ucr - Union Civica Radical","Entre Ríos","AFIRMATIVO"
"GARCIA ARESCA, IGNACIO","Hacemos Coalicion Federal","Córdoba","AFIRMATIVO"
"GARCIA, CARLOS","La Libertad Avanza","Chaco","AFIRMATIVO"
"GARRIDO, JOSE LUIS","Por Santa Cruz","Santa Cruz","AFIRMATIVO"
"GINOCCHIO, SILVANA MICAELA","Union Por La Patria","Catamarca","NEGATIVO"
"GIORGI, MELINA","Ucr - Union Civica Radical","Santa Fe","AFIRMATIVO"
"GIUDICI, SILVANA","Pro","C.A.B.A.","AFIRMATIVO"
"GIULIANO, DIEGO A.","Union Por La Patria","Santa Fe","NEGATIVO"
"GLINSKI, JOSE","Union Por La Patria","Chubut","NEGATIVO"
"GOLLAN, DANIEL","Union Por La Patria","Buenos Aires","NEGATIVO"
"GOMEZ, JOSE","Union Por La Patria","Santiago del Estero","AUSENTE"
"GONZALEZ, ALVARO","Pro","C.A.B.A.","AFIRMATIVO"
"GONZALEZ, GERARDO GUSTAVO","La Libertad Avanza","Formosa","AFIRMATIVO"
"GONZALEZ, GUSTAVO CARLOS MIGUEL","Union Por La Patria","Santa Cruz","NEGATIVO"
"GUTIERREZ, CARLOS","Hacemos Coalicion Federal","Córdoba","AFIRMATIVO"
"GUTIERREZ, RAMIRO","Union Por La Patria","Buenos Aires","NEGATIVO"
"HAGMAN, ITAI","Union Por La Patria","C.A.B.A.","NEGATIVO"
"HELLER, CARLOS","Union Por La Patria","C.A.B.A.","NEGATIVO"
"HERRERA, BERNARDO JOSE","Union Por La Patria","Santiago del Estero","NEGATIVO"
"HERRERA, RICARDO","Union Por La Patria","La Rioja","NEGATIVO"
"HUESEN, GERARDO","La Libertad Avanza","Tucumán","AFIRMATIVO"
"IANNI, ANA MARIA","Union Por La Patria","Santa Cruz","NEGATIVO"
"IBAÑEZ, MARIA CECILIA","La Libertad Avanza","Córdoba","AFIRMATIVO"
"IGLESIAS, FERNANDO ADOLFO","Pro","C.A.B.A.","AFIRMATIVO"
"IPARRAGUIRRE, ROGELIO","Union Por La Patria","Buenos Aires","NEGATIVO"
"JULIANO, PABLO","Ucr - Union Civica Radical","Buenos Aires","NEGATIVO"
"KIRCHNER, MAXIMO CARLOS","Union Por La Patria","Buenos Aires","NEGATIVO"
"KLIPAUKA LEWTAK, FLORENCIA","Hacemos Coalicion Federal","Misiones","AFIRMATIVO"
"LASPINA, LUCIANO ANDRES","Pro","Santa Fe","AFIRMATIVO"
"LEDESMA, TOMAS","Union Por La Patria","Entre Ríos","NEGATIVO"
"LEIVA, ALDO","Union Por La Patria","Chaco","NEGATIVO"
"LEMOINE, LILIA","La Libertad Avanza","Buenos Aires","AFIRMATIVO"
"LITZA, MONICA","Union Por La Patria","Buenos Aires","NEGATIVO"
"LLANCAFILO, OSVALDO","Innovacion Federal","Neuquén","AFIRMATIVO"
"LLANO, MERCEDES","La Libertad Avanza","Mendoza","AFIRMATIVO"
"LOMBARDI, HERNAN","Pro","Buenos Aires","AFIRMATIVO"
"LOPEZ MURPHY, RICARDO HIPOLITO","Hacemos Coalicion Federal","C.A.B.A.","AFIRMATIVO"
"LOPEZ RODRIGUEZ, DANTE","Union Por La Patria","Catamarca","NEGATIVO"
"LOPEZ, JUAN MANUEL","Hacemos Coalicion Federal","Buenos Aires","AFIRMATIVO"
"LOSPENNATO, SILVIA","Pro","Buenos Aires","AFIRMATIVO"
"MACHA, MONICA","Union Por La Patria","Buenos Aires","NEGATIVO"
"MACYSZYN, LORENA","Buenos Aires Libre","Buenos Aires","AFIRMATIVO"
"MANES, FACUNDO","Ucr - Union Civica Radical","Buenos Aires","NEGATIVO"
"MANRIQUE, MARIO","Union Por La Patria","Buenos Aires","NEGATIVO"
"MAQUIEYRA, MARTIN","Pro","La Pampa","AFIRMATIVO"
"MARIN, VARINIA LIS","Union Por La Patria","La Pampa","NEGATIVO"
"MARINO, JUAN","Union Por La Patria","Buenos Aires","NEGATIVO"
"MARQUEZ, NADIA","La Libertad Avanza","Neuquén","AFIRMATIVO"
"MARTINEZ, ALVARO","La Union Mendocina","Mendoza","AFIRMATIVO"
"MARTINEZ, GERMAN PEDRO","Union Por La Patria","Santa Fe","NEGATIVO"
"MARZIOTTA, GISELA","Union Por La Patria","C.A.B.A.","NEGATIVO"
"MASSOT, NICOLAS","Hacemos Coalicion Federal","Buenos Aires","AFIRMATIVO"
"MASTALER, MAGALI","Union Por La Patria","Santa Fe","NEGATIVO"
"MAYORAZ, NICOLAS","La Libertad Avanza","Santa Fe","AFIRMATIVO"
"MEDINA, GLADYS","Independencia","Tucumán","AFIRMATIVO"
"MENEM, MARTIN","La Libertad Avanza","La Rioja","PRESIDENTE"
"MILMAN, GERARDO","Pro","Buenos Aires","AFIRMATIVO"
"MIRABELLA, ROBERTO","Union Por La Patria","Santa Fe","NEGATIVO"
"MOLLE, MATIAS","Union Por La Patria","Buenos Aires","NEGATIVO"
"MONTENEGRO, GUILLERMO","La Libertad Avanza","Buenos Aires","AFIRMATIVO"
"MONTI, FRANCISCO","Ucr - Union Civica Radical","Catamarca","AFIRMATIVO"
"MONTOTO, MARIA LUISA","Union Por La Patria","Santiago del Estero","NEGATIVO"
"MONZO, EMILIO","Hacemos Coalicion Federal","Buenos Aires","AFIRMATIVO"
"MONZON, ROXANA","Union Por La Patria","Buenos Aires","NEGATIVO"
"MORAN, MICAELA","Union Por La Patria","Buenos Aires","NEGATIVO"
"MORCHIO, FRANCISCO","Hacemos Coalicion Federal","Entre Ríos","AFIRMATIVO"
"MOREAU, CECILIA","Union Por La Patria","Buenos Aires","NEGATIVO"
"MOREAU, LEOPOLDO","Union Por La Patria","Buenos Aires","NEGATIVO"
"MORENO OVALLE, JULIO","La Libertad Avanza","Salta","AFIRMATIVO"
"MORENO, MARIA DE LOS ANGELES","Produccion Y Trabajo","San Juan","AFIRMATIVO"
"MOYANO, NILDA","Union Por La Patria","Santiago del Estero","NEGATIVO"
"NEDER, ESTELA MARY","Union Por La Patria","Santiago del Estero","NEGATIVO"
"NIERI, LISANDRO","Ucr - Union Civica Radical","Mendoza","AFIRMATIVO"
"NOBLEGA, SEBASTIAN","Union Por La Patria","Catamarca","NEGATIVO"
"NUÑEZ, JOSE","Pro","Santa Fe","AFIRMATIVO"
"OLIVETO LAGO, PAULA","Hacemos Coalicion Federal","C.A.B.A.","AFIRMATIVO"
"OMODEO, PAULA","Creo","Tucumán","AFIRMATIVO"
"OROZCO, EMILIA","La Libertad Avanza","Salta","AFIRMATIVO"
"OSUNA, BLANCA INES","Union Por La Patria","Entre Ríos","NEGATIVO"
"OUTES, PABLO","Innovacion Federal","Salta","AFIRMATIVO"
"PAGANO, MARCELA MARINA","La Libertad Avanza","Buenos Aires","AFIRMATIVO"
"PALAZZO, SERGIO OMAR","Union Por La Patria","Buenos Aires","NEGATIVO"
"PAPONET, LILIANA","Union Por La Patria","Mendoza","NEGATIVO"
"PAROLA, MARIA GRACIELA","Union Por La Patria","Formosa","NEGATIVO"
"PASSO, MARCELA FABIANA","Union Por La Patria","Buenos Aires","NEGATIVO"
"PAULI, SANTIAGO","La Libertad Avanza","Tierra del Fuego","AFIRMATIVO"
"PAULON, ESTEBAN","Hacemos Coalicion Federal","Santa Fe","NEGATIVO"
"PEDRALI, GABRIELA","Union Por La Patria","La Rioja","NEGATIVO"
"PEDRINI, JUAN MANUEL","Union Por La Patria","Chaco","NEGATIVO"
"PELUC, JOSE","La Libertad Avanza","San Juan","AFIRMATIVO"
"PENACCA, PAULA ANDREA","Union Por La Patria","C.A.B.A.","NEGATIVO"
"PEREYRA, JULIO","Union Por La Patria","Buenos Aires","NEGATIVO"
"PICAT, LUIS ALBINO","Ucr - Union Civica Radical","Córdoba","AFIRMATIVO"
"PICHETTO, MIGUEL ANGEL","Hacemos Coalicion Federal","Buenos Aires","AFIRMATIVO"
"PICON MARTINEZ, NANCY VIVIANA","Produccion Y Trabajo","San Juan","AFIRMATIVO"
"PIPARO, CAROLINA","Buenos Aires Libre","Buenos Aires","AFIRMATIVO"
"POKOIK, LORENA","Union Por La Patria","C.A.B.A.","NEGATIVO"
"POLINI, JUAN CARLOS","Ucr - Union Civica Radical","Chaco","AFIRMATIVO"
"PONCE, MARIA CELESTE","La Libertad Avanza","Córdoba","AFIRMATIVO"
"POTENZA, LUCIANA","Union Por La Patria","Buenos Aires","NEGATIVO"
"PROPATO, AGUSTINA LUCRECIA","Union Por La Patria","Buenos Aires","NEGATIVO"
"QUETGLAS, FABIO JOSE","Ucr - Union Civica Radical","Buenos Aires","AFIRMATIVO"
"QUINTAR, MANUEL","La Libertad Avanza","Jujuy","AFIRMATIVO"
"QUIROZ, MARILU","Pro","Chaco","AFIRMATIVO"
"RANDAZZO, FLORENCIO","Hacemos Coalicion Federal","Buenos Aires","AFIRMATIVO"
"RAUSCHENBERGER, ARIEL","Union Por La Patria","La Pampa","NEGATIVO"
"RAZZINI, VERONICA","Pro","Santa Fe","AFIRMATIVO"
"REYES, ROXANA","Ucr - Union Civica Radical","Santa Cruz","AFIRMATIVO"
"RITONDO, CRISTIAN A.","Pro","Buenos Aires","AFIRMATIVO"
"RIZZOTTI, JORGE","Ucr - Union Civica Radical","Jujuy","AFIRMATIVO"
"RODRIGUEZ MACHADO, LAURA","Pro","Córdoba","AFIRMATIVO"
"ROMERO, ANA CLARA","Pro","Chubut","AFIRMATIVO"
"ROMERO, JORGE ANTONIO","Union Por La Patria","Corrientes","NEGATIVO"
"RUIZ, YAMILA","Innovacion Federal","Misiones","AFIRMATIVO"
"SANCHEZ, ROBERTO ANTONIO","Ucr - Union Civica Radical","Tucumán","AFIRMATIVO"
"SAND, NANCY","Union Por La Patria","Corrientes","NEGATIVO"
"SANTILLAN JUAREZ BRAHIM, JULIANA","La Libertad Avanza","Buenos Aires","AFIRMATIVO"
"SANTILLI, DIEGO","Pro","Buenos Aires","AFIRMATIVO"
"SANTORO, LEANDRO","Union Por La Patria","C.A.B.A.","NEGATIVO"
"SANTURIO, SANTIAGO","La Libertad Avanza","Buenos Aires","AFIRMATIVO"
"SARAPURA, NATALIA SILVINA","Ucr - Union Civica Radical","Jujuy","AFIRMATIVO"
"SELVA, SABRINA","Union Por La Patria","Buenos Aires","NEGATIVO"
"SILEY, VANESA RAQUEL","Union Por La Patria","Buenos Aires","NEGATIVO"
"SNOPEK, GUILLERMO","Union Por La Patria","Jujuy","AUSENTE"
"SORIA, MARTIN","Union Por La Patria","Rio Negro","NEGATIVO"
"SOTOLANO, MARIA","Pro","Buenos Aires","AFIRMATIVO"
"STEFANI, HECTOR ANTONIO","Pro","Tierra del Fuego","AFIRMATIVO"
"STOLBIZER, MARGARITA","Hacemos Coalicion Federal","Buenos Aires","NEGATIVO"
"STRADA, JULIA","Union Por La Patria","Buenos Aires","NEGATIVO"
"TAILHADE, RODOLFO","Union Por La Patria","Buenos Aires","NEGATIVO"
"TAVELA, DANYA","Ucr - Union Civica Radical","Buenos Aires","AFIRMATIVO"
"TETAZ, MARTIN ALBERTO","Ucr - Union Civica Radical","C.A.B.A.","AFIRMATIVO"
"TODERO, PABLO","Union Por La Patria","Neuquén","NEGATIVO"
"TOLOSA PAZ, VICTORIA","Union Por La Patria","Buenos Aires","NEGATIVO"
"TONIOLLI, EDUARDO","Union Por La Patria","Santa Fe","NEGATIVO"
"TORRES, ALEJANDRA","Hacemos Coalicion Federal","Córdoba","AFIRMATIVO"
"TORTORIELLO, ANIBAL","Pro","Rio Negro","AFIRMATIVO"
"TREFFINGER, CESAR","La Libertad Avanza","Chubut","AFIRMATIVO"
"VALDES, EDUARDO FELIX","Union Por La Patria","C.A.B.A.","NEGATIVO"
"VALLEJOS, ALFREDO","Ucr - Union Civica Radical","Corrientes","AFIRMATIVO"
"VANCSIK, DANIEL","Innovacion Federal","Misiones","AFIRMATIVO"
"VARGAS MATYI, BRENDA","Union Por La Patria","Buenos Aires","NEGATIVO"
"VASQUEZ, PATRICIA","Pro","Buenos Aires","AFIRMATIVO"
"VEGA, YOLANDA","Innovacion Federal","Salta","AFIRMATIVO"
"VERASAY, PAMELA FERNANDA","Ucr - Union Civica Radical","Mendoza","AFIRMATIVO"
"VIDAL, MARIA EUGENIA","Pro","C.A.B.A.","AFIRMATIVO"
"VILCA, ALEJANDRO","Frente De Izquierda Y De Trabajadores Unidad","Jujuy","NEGATIVO"
"VILLAVERDE, LORENA","La Libertad Avanza","Rio Negro","AFIRMATIVO"
"VOLNOVICH, LUANA","Union Por La Patria","Buenos Aires","NEGATIVO"
"YASKY, HUGO","Union Por La Patria","Buenos Aires","NEGATIVO"
"YEDLIN, PABLO","Union Por La Patria","Tucumán","NEGATIVO"
"YEZA, MARTIN","Pro","Buenos Aires","AFIRMATIVO"
"YUTROVIC, CAROLINA","Union Por La Patria","Tierra del Fuego","NEGATIVO"
"ZABALA CHACUR, NATALIA","Union Por La Patria","San Luis","NEGATIVO"
"ZAGO, OSCAR","La Libertad Avanza","C.A.B.A.","AFIRMATIVO"
"ZAPATA, CARLOS RAUL","La Libertad Avanza","Salta","AFIRMATIVO"
"ZARACHO, NATALIA","Union Por La Patria","Buenos Aires","NEGATIVO"
"ZULLI, CHRISTIAN ALEJANDRO","Union Por La Patria","Corrientes","NEGATIVO"
